数据日期,DB_TIME,DB_TPS,DB_QPS
2017/9/17,0.37,12.31,103.43
2017/9/18,1.48,32.17,307.73
2017/9/19,1.34,34.08,319.26
2017/9/20,1.36,37.57,342.66
2017/9/21,0.62,34.53,284.87
2017/9/22,1.3,27.86,236.56
2017/9/23,0.41,13.08,110.13
2017/9/24,0.38,12.11,103.01
2017/9/25,1.47,36.39,298.56
2017/9/26,1.37,31.53,270.99
2017/9/27,1.85,78.68,430.74
2017/9/28,1.31,32.11,275.4
2017/9/29,1.53,37.19,327.75
2017/9/30,1.21,44.31,356.83
2017/10/1,0.36,13.24,107.59
2017/10/2,0.49,25.42,215.21
2017/10/3,0.28,8.56,72.32
2017/10/4,0.29,8.78,73.82
2017/10/5,0.32,10.05,83.56
2017/10/6,0.35,11.5,95.03
2017/10/7,0.48,13.02,107.47
2017/10/8,0.52,17.53,143.39
2017/10/9,3.57,66.43,526.34
2017/10/10,1.71,54.67,456.1
2017/10/11,1.53,41.27,350.87
2017/10/12,1.29,35.05,296.11
2017/10/13,1.54,37.61,324.73
2017/10/14,0.47,17.96,149.62
2017/10/15,0.43,14.81,122.87
2017/10/16,1.71,48.32,411.0
2017/10/17,1.32,35.28,309.98
2017/10/18,1.25,35.12,298.48
2017/10/19,1.26,32.23,275.26
2017/10/20,1.41,43.05,357.75
2017/10/21,0.51,15.99,135.51
2017/10/22,0.38,12.95,109.62
2017/10/23,1.48,36.27,325.16
2017/10/24,1.33,33.34,287.74
2017/10/25,1.47,42.7,363.46
2017/10/26,1.19,31.06,276.3
2017/10/27,1.4,34.51,300.37
2017/10/28,0.42,15.36,127.71
2017/10/29,0.38,12.6,106.34
2017/10/30,1.43,34.82,312.64
2017/10/31,1.39,36.85,326.98
2017/11/1,2.27,66.1,544.28
2017/11/2,1.47,35.14,301.79
2017/11/3,1.41,35.27,285.66
2017/11/4,0.44,16.1,134.98
2017/11/5,0.4,14.15,117.95
2017/11/6,1.53,44.33,383.71
2017/11/7,1.37,34.93,305.69
2017/11/8,1.5,45.71,407.91
2017/11/9,1.2,30.89,274.65
2017/11/10,1.43,41.1,325.4
2017/11/11,0.4,14.61,125.85
2017/11/12,0.38,13.03,112.15
2017/11/13,1.45,35.12,325.27
2017/11/14,1.23,33.29,293.93
2017/11/15,1.54,41.31,360.27
2017/11/16,1.17,32.44,284.54
2017/11/17,1.35,34.94,306.68
2017/11/18,0.42,16.0,136.36
2017/11/19,0.39,13.82,116.73
2017/11/20,1.65,42.29,378.7
2017/11/21,1.23,37.68,324.48
2017/11/22,0.79,38.66,303.06
2017/11/23,1.21,33.85,304.28
2017/11/24,1.32,39.4,335.99
2017/11/25,0.39,13.8,117.87
2017/11/26,0.34,12.19,104.33
2017/11/27,1.4,35.97,326.94
2017/11/28,1.19,31.34,272.22
2017/11/29,1.31,28.56,253.16
2017/11/30,1.24,31.54,312.35
2017/12/1,1.97,58.9,490.64
2017/12/2,0.48,17.88,150.6
2017/12/3,0.43,14.65,124.56
2017/12/4,1.48,38.76,344.06
2017/12/5,1.55,40.6,356.61
2017/12/6,1.18,31.52,274.39
2017/12/7,1.22,31.83,292.96
2017/12/8,1.35,34.72,292.01
2017/12/9,0.43,15.85,135.92
2017/12/10,0.41,14.67,124.51
2017/12/11,1.48,40.78,366.92
2017/12/12,1.23,31.31,270.6
2017/12/13,1.31,31.49,283.71
2017/12/14,1.18,32.04,275.33
2017/12/15,1.37,35.93,312.95
2017/12/16,0.44,16.98,142.72
2017/12/17,0.38,13.74,116.39
2017/12/18,1.64,37.38,338.33
2017/12/19,1.51,36.44,311.67
2017/12/20,1.45,41.63,362.99
2017/12/21,1.32,41.04,343.4
2017/12/22,1.57,42.24,355.56
