数据日期,DB_TIME,DB_TPS,DB_QPS
2017/2/18,0.6,12.89,104.6
2017/2/19,7.4,166.75,7331.6
2017/2/19,0.47,35.23,282.96
2017/2/19,0.3,11.17,89.39
2017/2/20,9.69,215.11,10706.48
2017/2/20,0.55,41.49,322.02
2017/2/20,0.94,30.86,261.74
2017/2/21,9.51,209.3,10308.98
2017/2/21,0.92,31.29,279.1
2017/2/21,0.51,37.04,290.36
2017/2/22,9.58,211.5,10218.05
2017/2/22,0.5,36.16,283.6
2017/2/22,0.96,29.15,261.38
2017/2/23,9.4,211.89,10079.6
2017/2/23,0.51,37.39,309.68
2017/2/23,0.94,27.54,254.28
2017/2/24,9.55,216.29,10122.04
2017/2/24,0.52,38.7,302.73
2017/2/24,0.97,30.78,274.98
2017/2/25,7.84,188.58,7987.08
2017/2/25,0.47,34.95,279.09
2017/2/25,0.33,11.89,97.14
2017/2/26,7.78,187.84,7714.39
2017/2/26,0.48,35.52,283.57
2017/2/26,0.3,9.93,80.77
2017/2/27,10.54,240.67,10817.85
2017/2/27,0.55,42.74,330.61
2017/2/27,1.09,28.46,245.55
2017/2/28,10.36,241.66,10853.63
2017/2/28,0.56,43.55,338.31
2017/2/28,1.24,30.22,277.59
2017/3/1,10.45,242.94,10932.46
2017/3/1,0.56,41.98,326.58
2017/3/1,1.33,38.16,332.64
2017/3/2,10.19,238.54,10699.65
2017/3/2,0.55,40.16,313.43
2017/3/2,1.14,30.19,273.52
2017/3/3,10.12,236.67,10505.44
2017/3/3,0.55,40.34,313.98
2017/3/3,1.06,34.55,283.6
2017/3/4,8.52,200.92,8335.39
2017/3/4,0.47,34.48,275.81
2017/3/4,0.33,12.01,98.1
2017/3/5,8.65,197.59,8209.11
2017/3/5,0.46,33.55,268.57
2017/3/5,0.31,10.2,82.89
2017/3/6,11.14,245.15,11229.19
2017/3/6,0.56,40.4,312.46
2017/3/6,1.12,29.09,251.43
2017/3/7,11.84,237.29,11109.89
2017/3/7,0.54,38.42,299.29
2017/3/7,1.11,31.5,283.49
2017/3/8,11.7,246.13,11290.71
2017/3/8,0.99,28.63,257.78
2017/3/8,0.54,38.47,300.09
2017/3/9,11.09,234.57,11053.94
2017/3/9,0.53,37.39,291.67
2017/3/9,0.91,24.61,227.08
2017/3/10,11.88,245.72,11753.53
2017/3/10,0.55,39.98,310.79
2017/3/10,0.91,29.41,263.68
2017/3/11,9.41,201.26,8925.1
2017/3/11,0.49,35.75,284.65
2017/3/11,0.35,15.71,126.52
2017/3/12,8.79,191.58,8533.69
2017/3/12,0.46,32.9,262.92
2017/3/12,0.31,12.24,98.06
2017/3/13,10.94,229.44,11175.58
2017/3/13,0.55,39.27,303.5
2017/3/13,1.14,32.94,273.85
2017/3/14,10.02,206.98,10313.86
2017/3/14,0.55,39.51,306.02
2017/3/14,1.09,25.22,229.45
2017/3/15,10.57,213.65,10739.67
2017/3/15,0.98,30.7,281.1
2017/3/15,0.58,41.83,326.05
2017/3/16,10.86,208.37,10445.74
2017/3/16,1.03,30.82,276.91
2017/3/16,0.6,42.06,329.82
2017/3/17,9.67,201.54,10083.59
2017/3/17,0.56,40.31,315.04
2017/3/17,0.87,28.4,239.96
2017/3/18,7.95,174.96,7788.59
2017/3/18,0.49,35.06,281.71
2017/3/18,0.33,12.94,104.35
2017/3/19,8.16,179.02,7744.65
2017/3/19,0.49,34.61,277.41
2017/3/19,0.31,11.11,88.6
2017/3/20,12.06,230.76,11257.44
2017/3/20,0.61,43.86,338.29
2017/3/20,1.17,32.7,273.44
2017/3/21,10.82,225.26,10763.61
2017/3/21,0.58,40.83,317.86
2017/3/21,1.21,32.2,286.3
2017/3/22,10.35,224.2,10523.88
2017/3/22,0.53,36.54,286.28
2017/3/22,1.08,26.73,238.56
2017/3/23,10.29,225.21,10434.37
2017/3/23,0.54,37.06,290.03
2017/3/23,0.97,26.52,247.32
2017/3/24,10.69,228.02,10493.89
2017/3/24,0.55,37.64,293.02
2017/3/24,0.92,27.23,245.72
2017/3/25,8.61,195.45,8055.17
2017/3/25,0.48,33.75,270.26
2017/3/25,0.31,10.43,85.97
2017/3/26,8.42,193,7721.02
2017/3/26,0.47,33.05,265.49
2017/3/26,0.27,8.62,71.32
2017/3/27,11.01,244.12,10784.7
2017/3/27,0.57,40.8,316.43
2017/3/27,1.16,25.48,240.47
2017/3/28,11.83,235.42,10414.78
2017/3/28,0.55,38.32,299.29
2017/3/28,1.63,28.1,253.57
2017/3/29,10.26,229.42,10026.23
2017/3/29,0.54,38.42,299.08
2017/3/29,0.99,23.75,219.67
2017/3/30,0.55,36.09,296.08
2017/3/30,9.82,226.11,9868.49
2017/3/30,1.06,23.01,217.27
2017/3/31,10.19,232.98,10191.99
2017/3/31,0.57,39.34,308.81
2017/3/31,1.12,27.97,249.43
2017/4/1,10.58,228.77,10093.19
2017/4/1,0.62,41.46,326.59
2017/4/1,0.9,29.4,242.6
2017/4/2,8.06,190.43,7507.19
2017/4/2,0.47,29.63,242.33
2017/4/2,0.3,9.5,78.63
2017/4/3,7.42,189.28,7383.3
2017/4/3,0.45,28.37,232.53
2017/4/3,0.27,8.96,74.92
2017/4/4,7.43,189.12,7579.63
2017/4/4,0.45,28.03,230.72
2017/4/4,0.31,10.74,88.63
2017/4/5,11.71,250.21,11551.76
2017/4/5,0.6,39.89,311.82
2017/4/5,1.45,41.99,344.97
2017/4/6,11.85,253.1,11785.86
2017/4/6,0.58,38.43,301.67
2017/4/6,1.09,32.65,298.04
2017/4/7,12.8,246.66,11591.88
2017/4/7,0.6,38.51,302.09
2017/4/7,1.08,31.47,268.37
2017/4/8,10.35,220.4,9499.34
2017/4/8,0.51,32.2,259.23
2017/4/8,0.35,11.92,98.66
2017/4/9,10.12,217.57,9328.62
2017/4/9,0.49,31.52,254.82
2017/4/9,0.33,10.55,86.86
2017/4/10,12.78,270.19,12816.63
2017/4/10,0.62,41.04,318.85
2017/4/10,1.79,33.04,283.72
2017/4/11,11.88,229.47,11274.16
2017/4/11,0.64,40.06,315.3
2017/4/11,1.19,32.08,288.36
2017/4/12,10.15,214.32,10679.29
2017/4/12,0.57,37.37,294.52
2017/4/12,1.02,27.86,248.93
2017/4/13,10.11,216.67,10706.26
2017/4/13,0.57,37.28,294.11
2017/4/13,1.12,31.74,272.35
2017/4/14,10.07,218.71,10750.52
2017/4/14,0.6,38.55,303.67
2017/4/14,1.04,28.86,259.21
2017/4/15,8.5,186.74,8317.95
2017/4/15,0.53,34.13,277.42
2017/4/15,0.36,13.79,115.38
2017/4/16,8.3,184.18,8045.29
2017/4/16,0.32,11.88,99.42
2017/4/16,0.51,32.39,264.75
2017/4/17,10.52,226.93,11152.41
2017/4/17,0.61,40.1,315.97
2017/4/17,1.35,34.58,303.86
2017/4/18,10.37,220.72,10796.76
2017/4/18,0.62,40.23,318.75
2017/4/18,1.19,35.25,318.53
2017/4/19,10.36,223.81,10682.71
2017/4/19,0.61,38.41,303.23
2017/4/19,1.17,30.71,274.59
